Order ID,Date,Customer Name,Product,Category,Quantity,Unit Price,Total Sales
1001,2024-01-05,John Doe,Laptop,Electronics,1,1000,1000
1002,2024-01-07,Jane Smith,Headphones,Electronics,2,150,300
1003,2024-01-10,Bob Johnson,Chair,Furniture,4,75,300
1004,2024-01-15,Alice Brown,Desk,Furniture,1,200,200
1005,2024-01-18,Charlie Green,Monitor,Electronics,3,250,750
1006,2024-01-20,Eve White,Keyboard,Electronics,5,50,250
1007,2024-01-25,Frank Black,Mouse,Electronics,10,25,250
1008,2024-01-30,Grace Blue,Sofa,Furniture,2,500,1000
1009,2024-02-05,Hannah Yellow,Table,Furniture,1,300,300
1010,2024-02-10,Ian Purple,Lamp,Furniture,6,20,120
